CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,325,1,77183.6,3,Loyal Customers
12347,2,7,4310.0,2,Champions
12348,75,4,1797.24,3,Loyal Customers
12349,18,1,1757.55,1,New Customers
12350,310,1,334.4,0,Lost Customers
12352,36,8,2506.04,3,Loyal Customers
12353,204,1,89.0,0,Lost Customers
12354,232,1,1079.4,0,Lost Customers
12355,214,1,459.4,0,Lost Customers
12356,22,3,2811.43,3,Loyal Customers
12357,33,1,6207.67,3,Loyal Customers
12358,1,2,1168.06,1,New Customers
12359,57,4,6372.58,3,Loyal Customers
12360,52,3,2662.06,3,Loyal Customers
12361,287,1,189.9,0,Lost Customers
12362,3,10,5226.23,2,Champions
12363,109,2,552.0,0,Lost Customers
12364,7,4,1313.1,1,New Customers
12365,291,2,641.38,0,Lost Customers
12367,4,1,168.9,1,New Customers
12370,51,4,3545.69,3,Loyal Customers
12371,44,2,1887.96,3,Loyal Customers
12372,71,3,1298.04,3,Loyal Customers
12373,311,1,364.6,0,Lost Customers
12374,25,1,742.93,1,New Customers
12375,10,2,457.5,1,New Customers
12377,315,2,1628.12,3,Loyal Customers
12378,129,1,4008.62,3,Loyal Customers
12379,81,2,852.24,3,Loyal Customers
12380,21,4,2724.81,3,Loyal Customers
12381,4,5,1845.31,2,Champions
12383,184,5,1850.56,3,Loyal Customers
12384,28,2,585.27,1,New Customers
12386,337,2,401.9,0,Lost Customers
12388,15,6,2780.66,2,Champions
12390,79,1,549.84,0,Lost Customers
12391,21,1,460.89,1,New Customers
12393,72,4,1582.6,3,Loyal Customers
12394,63,2,1272.48,3,Loyal Customers
12395,19,12,3018.63,2,Champions
12397,35,2,2409.9,3,Loyal Customers
12398,45,1,1635.66,3,Loyal Customers
12399,119,4,1108.65,3,Loyal Customers
12401,303,1,84.3,0,Lost Customers
12402,323,1,225.6,0,Lost Customers
12403,49,1,427.7,0,Lost Customers
12405,148,1,1710.39,3,Loyal Customers
12406,22,2,3415.3,3,Loyal Customers
12407,49,5,1708.12,3,Loyal Customers
12408,32,5,2888.55,3,Loyal Customers
12409,78,3,11072.67,3,Loyal Customers
12410,308,2,693.33,0,Lost Customers
12412,74,3,1226.88,3,Loyal Customers
12413,66,3,758.1,3,Loyal Customers
12414,217,3,562.41,0,Lost Customers
12415,24,21,124914.53,2,Champions
12417,3,9,3649.1,2,Champions
12418,112,1,668.58,0,Lost Customers
12420,63,1,600.39,0,Lost Customers
12421,15,4,807.04,1,New Customers
12422,95,3,803.56,3,Loyal Customers
12423,0,8,1859.31,2,Champions
12424,162,2,1760.96,3,Loyal Customers
12425,78,1,777.2,0,Lost Customers
12426,194,1,582.73,0,Lost Customers
12427,21,3,825.8,1,New Customers
12428,25,9,7956.46,2,Champions
12429,9,4,3750.4,2,Champions
12430,43,1,256.4,0,Lost Customers
12431,35,15,6487.45,2,Champions
12432,42,5,5059.32,3,Loyal Customers
12433,0,7,13375.87,2,Champions
12434,84,2,806.14,3,Loyal Customers
12435,79,2,7829.89,3,Loyal Customers
12436,99,1,509.01,0,Lost Customers
12437,1,18,4951.41,2,Champions
12438,14,2,2906.85,3,Loyal Customers
12441,366,1,173.55,0,Lost Customers
12442,3,1,172.06,1,New Customers
12444,21,5,5005.46,3,Loyal Customers
12445,22,1,133.4,1,New Customers
12446,57,1,1002.31,0,Lost Customers
12447,243,1,476.49,0,Lost Customers
12448,44,1,449.45,0,Lost Customers
12449,22,4,4067.29,3,Loyal Customers
12450,156,2,197.88,0,Lost Customers
12451,10,5,9035.52,2,Champions
12452,16,2,430.57,1,New Customers
12453,134,1,707.09,0,Lost Customers
12454,56,1,3528.34,3,Loyal Customers
12455,73,6,2466.86,3,Loyal Customers
12456,44,3,3181.04,3,Loyal Customers
12457,66,7,2363.23,3,Loyal Customers
12458,71,2,947.4,3,Loyal Customers
12461,94,2,826.88,3,Loyal Customers
12462,18,2,1189.59,1,New Customers
12463,53,4,1344.78,3,Loyal Customers
12464,10,8,1212.05,2,Champions
12465,17,2,742.19,1,New Customers
12468,187,2,729.54,0,Lost Customers
12471,2,30,19824.05,2,Champions
12472,32,7,6572.11,2,Champions
12473,29,5,3938.55,3,Loyal Customers
12474,17,18,7375.79,2,Champions
12475,53,1,723.38,0,Lost Customers
12476,15,11,6816.42,2,Champions
12477,22,6,13219.74,2,Champions
12478,3,1,680.99,1,New Customers
12479,11,1,527.2,1,New Customers
12480,28,4,3281.63,3,Loyal Customers
12481,22,10,5596.32,2,Champions
12483,17,8,2484.98,2,Champions
12484,32,6,4541.72,3,Loyal Customers
12488,9,3,1298.66,1,New Customers
12489,336,1,334.93,0,Lost Customers
12490,5,10,5417.93,2,Champions
12491,38,1,460.4,1,New Customers
12492,63,2,263.21,0,Lost Customers
12493,165,2,433.74,0,Lost Customers
12494,15,7,1246.1,3,Loyal Customers
12497,81,1,1043.1,0,Lost Customers
12498,21,3,403.7,1,New Customers
12500,23,11,4257.82,2,Champions
12501,336,1,2169.39,0,Lost Customers
12502,95,5,3723.87,3,Loyal Customers
12504,18,2,482.05,1,New Customers
12506,232,1,73.5,0,Lost Customers
12507,134,3,1304.81,3,Loyal Customers
12508,26,2,398.27,1,New Customers
12509,284,1,176.5,0,Lost Customers
12510,142,2,982.57,3,Loyal Customers
12512,66,2,138.03,0,Lost Customers
12513,112,1,612.29,0,Lost Customers
12514,267,1,1017.68,0,Lost Customers
12515,353,1,383.7,0,Lost Customers
12516,77,2,1312.06,3,Loyal Customers
12517,28,5,2502.84,3,Loyal Customers
12518,0,5,2056.89,2,Champions
12519,63,1,340.84,0,Lost Customers
12520,79,5,2634.26,3,Loyal Customers
12521,142,1,599.68,0,Lost Customers
12522,39,2,192.72,1,New Customers
12523,19,11,1789.77,2,Champions
12524,9,8,4485.72,2,Champions
12526,0,3,1316.66,1,New Customers
12527,81,3,348.71,0,Lost Customers
12528,9,6,1933.48,2,Champions
12530,59,4,1662.28,3,Loyal Customers
12531,14,1,125.22,1,New Customers
12532,30,1,349.83,1,New Customers
12534,130,1,1089.18,0,Lost Customers
12535,91,2,716.35,3,Loyal Customers
12536,43,3,12601.83,3,Loyal Customers
12538,29,1,363.95,1,New Customers
12539,22,4,5568.35,3,Loyal Customers
12540,19,17,13400.24,2,Champions
12541,29,3,981.18,3,Loyal Customers
12544,36,1,372.7,1,New Customers
12545,75,2,1000.39,3,Loyal Customers
12546,46,2,1161.5,3,Loyal Customers
12547,197,2,207.8,0,Lost Customers
12548,166,1,95.2,0,Lost Customers
12550,79,1,964.83,0,Lost Customers
12551,357,1,168.0,0,Lost Customers
12552,38,2,437.82,1,New Customers
12553,8,10,3692.28,2,Champions
12556,50,2,603.71,3,Loyal Customers
12557,16,5,11990.96,2,Champions
12558,7,1,269.96,1,New Customers
12559,310,2,561.71,0,Lost Customers
12560,5,3,2134.01,1,New Customers
12561,302,1,238.85,0,Lost Customers
12562,8,7,3781.74,2,Champions
12564,261,1,456.9,0,Lost Customers
12565,288,1,145.92,0,Lost Customers
12566,86,1,351.65,0,Lost Customers
12567,22,10,9401.28,2,Champions
12569,2,32,4124.69,2,Champions
12571,39,2,519.61,1,New Customers
12572,8,2,1020.42,1,New Customers
12573,227,1,160.54,0,Lost Customers
12574,315,1,218.45,0,Lost Customers
12576,35,5,1315.83,3,Loyal Customers
12577,35,3,657.8,3,Loyal Customers
12578,21,2,2794.51,3,Loyal Customers
12579,78,1,440.42,0,Lost Customers
12580,246,1,415.7,0,Lost Customers
12581,39,1,197.71,0,Lost Customers
12582,238,2,511.36,0,Lost Customers
12583,2,15,7281.38,2,Champions
12584,3,9,2338.15,2,Champions
12585,234,2,2040.1,3,Loyal Customers
12586,17,1,196.94,1,New Customers
12587,7,1,144.0,1,New Customers
12588,39,1,214.9,0,Lost Customers
12589,28,2,646.68,1,New Customers
12590,211,2,9864.26,3,Loyal Customers
12591,317,1,452.85,0,Lost Customers
12592,92,2,437.6,0,Lost Customers
12593,108,3,418.1,0,Lost Customers
12594,37,10,3338.22,2,Champions
12596,51,2,618.27,3,Loyal Customers
12597,19,4,3811.22,3,Loyal Customers
12598,9,8,3023.08,2,Champions
12599,29,7,1032.58,3,Loyal Customers
12600,28,10,2599.04,2,Champions
12601,189,5,577.06,3,Loyal Customers
12602,58,1,153.12,0,Lost Customers
12603,21,1,739.2,1,New Customers
12604,79,2,254.18,0,Lost Customers
12607,60,1,1579.51,3,Loyal Customers
12609,78,3,1126.85,3,Loyal Customers
12610,22,5,2099.54,3,Loyal Customers
12611,52,1,1193.32,3,Loyal Customers
12612,74,1,704.04,0,Lost Customers
12613,57,5,3344.38,3,Loyal Customers
12614,277,1,315.6,0,Lost Customers
12615,2,4,2291.19,2,Champions
12616,95,2,713.3,0,Lost Customers
12617,29,1,355.53,1,New Customers
12618,21,1,177.31,1,New Customers
12619,16,9,3641.24,2,Champions
12620,14,3,1339.41,3,Loyal Customers
12621,1,20,13689.67,2,Champions
12622,232,1,180.1,0,Lost Customers
12623,276,1,305.1,0,Lost Customers
12624,106,2,641.13,0,Lost Customers
12625,211,2,2683.82,3,Loyal Customers
12626,23,9,6620.48,2,Champions
12627,10,7,4478.53,2,Champions
12628,4,3,786.46,1,New Customers
12630,9,2,1270.88,1,New Customers
12631,57,1,640.5,0,Lost Customers
12633,58,4,2163.98,3,Loyal Customers
12635,89,2,1689.18,3,Loyal Customers
12637,67,8,6021.9,3,Loyal Customers
12638,33,1,671.69,1,New Customers
12639,238,1,486.1,0,Lost Customers
12640,23,3,1174.58,3,Loyal Customers
12641,115,1,185.9,0,Lost Customers
12642,25,3,1013.26,3,Loyal Customers
12643,128,6,3344.64,3,Loyal Customers
12644,129,1,477.91,0,Lost Customers
12645,33,4,1775.18,3,Loyal Customers
12646,4,2,1346.97,1,New Customers
12647,22,12,3722.82,2,Champions
12648,154,1,318.05,0,Lost Customers
12649,107,3,623.51,3,Loyal Customers
12650,3,1,314.44,1,New Customers
